ID	English	French	PrettyFrench	Type	Etymology	Definition
514	ericoid	éricoïde	ericoide	adj.	lat. erice, bruyère	feuilles courtes, étroites à bord ayant tendance à se recourber
515	eustele	eustèle	eustele	n.f.	gr. eu, vrai & stela, colonne	étape ultime de la désarticulation d'un siphonostèle
516	evergreen	sempervirent	sempervirent	adj.	lat. semper virens, toujours vert	
517	exalbuminous	exalbuminé	exalbumine	adj.		graine dt l'embryon a consommé tt l'albumen
518	exarch	exarche	exarche	adj.	lat. ex, hors de, arcus, arc	bois primaire initial (protoxylème) lorsqu'il occupe 1 position périphérique par rapport au métaxylème
519	excavated	creusé	creuse	adj.		
520	excrescence	excroissance	excroissance	n.f.		
521	exfoliating	exfoliant, s' (écorce)	exfoliant, s' (ecorce)	v. pr.	lat. exfoliare de folium, feuille	
522	exine	exine	exine	n.f.		couche externe de la paroi squelettique du grain de pollen
523	exocarp	exocarpe	exocarpe	n.f.	gr. exô, en dehors, karpos, fruit	
524	exogenous	exogène	exogene	adj.	gr. exô, en dehors, genea, génération	
525	expanded	développant, se ?	developpant, se ?	v. tr.		
526	explosively	explosive, de façon	explosive, de facon	adj.		
527	exserted	exserte	exserte	adj.		Qui s'étend au-delà des organes enveloppant (généralement les pièces du périanthe).
528	exstipulate	stipules nulles	stipules nulles	n.f.pl.	lat. stipula, petite tige	
529	extrorse	extrorse	extrorse	adj.	lat. extrorsum, au-dehors	étamine dont l'anthère est tournée vers l'extérieur de la fleur
530	exudate	exsudat	exsudat	n.m.	lat. sudere, suer	substance élaborée et libérée ds la milieu par 1 végétal
531	exudate	exsudation	exsudation	n.f.	lat. sudere, suer	
532	exudation	excrétion	excretion	n.f.		
533	exudation	exsudation	exsudation	n.f.	lat. sudere, suer	
534	exuding	exsudation, 'fruit' duquel s'écoule une	exsudation, 'fruit' duquel s'ecoule une	n.f.	lat. sudere, suer	
535	exuding	exsuder	exsuder	v. tr.	lat. sudere, suer	
536	exuding	suinter	suinter	v. tr.		
537	fail to	avorter	avorter	v. intr.	lat. abortare	ne pas se développer
538	faintly	faiblement	faiblement	adv.		
539	falcate	falciforme	falciforme	adj.	lat. falx, faux	en forme de faux
540	falciform	falciforme	falciforme	adj.	lat. falx, faux	
541	fall away	dissiper, se	dissiper, se	v. tr.		
542	false fruit	faux-fruit	faux-fruit	n.m.	lat. falsus, faux & fructus, fruit	dév. Post-fécondation d'1 partie autre que gynécée
543	false partition	fausse cloison	fausse cloison	n.f.		loge divisée en logettes par 1 fausse cloison
544	fan-like	éventail, en	eventail, en	adj.		
545	fanned	éventail, en	eventail, en	adj.		
546	fanned	flabelliforme	flabelliforme	adj.	lat. flabellum, éventail	
547	fan-shape	flabellé	flabelle	adj.	lat. flabellum, éventail	rappelle un éventail
548	fasciation	fasciation	fasciation	n.f.	lat. fascia, bande	anomalie s/certaines tiges ou rameaux …
549	fascicle	faisceau	faisceau	n.m.	lat. fascellus, botte, paquet	
550	fascicle	fascicule	fascicule	n.m.	lat. fasciculus, petit faisceau	inflorescence
551	fascicle	fasciculé	fascicule	adj.	lat. fasciculus, petit faisceau	groupé en faisceaux
552	fastigiate	fastigié	fastigie	adj.	lat. fastigiatus, en forme de faîte	en forme de faîte
553	feathery	plumeux	plumeux	adj.	lat. pluma, duvet	couvert de nombreux poils filiformes + ou - dressés
554	female	femelle	femelle	n.f.		
555	ferruginous	ferrugineux	ferrugineux	adj.	lat. ferrugo, inis, rouille	
556	fertilization	fécondation	fecondation	n.f.	lat. fecundare, féconder	anthérozoïde+oosphère ou diplo+triplo
557	few-	pauci-	pauci-	préfixe	lat. pauci, en petit nombre	
558	fibre	fibre	fibre	n.f.		cellule du bois ou liber
559	fibrous	fibreux	fibreux	adj.		
560	filament	filet	filet	n.m.	lat. filum, fil	partie amincie de l'étamine qui est fixée au réceptacle floral et supporte l'anthère
561	filiform	filiforme	filiforme	adj.	lat. filum, fil	
562	fimbriate	fimbrié	fimbrie	adj.	lat. fimbria, frange	organe à bord découpé comme une frange
563	flag	étendard	etendard	n.m.		
564	flake	plaque	plaque	n.f.		
565	flange-like	saillant	saillant	adj.		
566	flap	volet	volet	n.m.		
567	flaring	s'élargissant	s'elargissant	v. tr.		
568	flat sides, with	méplats, avec des	meplats, avec des	n.m.		
569	flattened	aplati	aplati	adj.		
570	flattened	en plateau	en plateau	adj.		
571	fleshy	charnu	charnu	adj.		
572	floret	fleuron	fleuron	n.m.	lat. florem, fleur	1 des types de fleurs chez les Asteraceae
573	floury	farineux	farineux	adj.		
574	flower	fleur	fleur	n.f.	lat. florem, fleur	
575	flowered, few-	pauciflore	pauciflore	adj.	lat. Flora, déesse des fleurs	
576	flowered, many-	multiflore	multiflore	adj.	lat. Flora, déesse des fleurs	
577	flowered, n-	flore, n-	flore, n-	adj.	lat. Flora, déesse des fleurs	
578	flute	cannelure	cannelure	n.f.	it. cannelatura, cannelure	
579	fluted	cannelé	cannele	adj.	it. cannelatura, cannelure	
580	fold	bourrelet	bourrelet	n.m.		
581	folded	plié	plie	adj.		
582	folded back	replié	replie	v. tr.		
583	foliaceous	foliacé	foliace	adj.	lat. foliaceus	aspect d'une feuille
584	foliage	feuillage	feuillage	n.m.		
585	follicle	follicule	follicule	n.m.	lat. folliculus, petit sac	fruit sec, déhiscent par une seule fente …
586	follicular	folliculaire	folliculaire	adj.	lat. folliculus, petit sac	monocarpe opu méricarpe ressemblant à un follicule
587	foot					basal portion of an embryo, …
588	forked	fourchu	fourchu	adj.		
589	form	forme	forme	n.f.		
590	formula, floral	formule florale	formule florale	n.f.		
591	foul smelling	fétide	fetide	adj.		
592	foveolate	fovéolé	foveole	adj.	lat. fovea, fosse	à surface garnie de petites fossettes.
593	foveolate domatia	fovéolées, domaties	foveolees, domaties	adj.	lat. fovea, fosse	
594	foveoles	fovéas	foveas	n.f.	lat. fovea, fosse	
595	fragrant	odorant	odorant	adj.		
596	framework	charpente	charpente	n.f.		
597	free	libre	libre	adj.		
598	free central placentation	placentation centrale libre	placentation centrale libre	n.f.	lat. placenta, gâteau	
599	fret-work	découpure	decoupure	n.f.		
600	fringed	frangé	frange	adj.		
601	frond	fronde	fronde	n.f.	lat. frondis, feuillage	
602	frond	palme (palmier)	palme (palmier)	n.f.		
603	fructification	fructification	fructification	n.f.		
604	fructified, fruit, have born	fructifié	fructifie	adj.		
605	fruit	fruit	fruit	n.m.		
606	fruit, aggregate (etaerio)	fruit agrégé	fruit agrege	n.m.		ensemble des monocarpes issus d'un gynécée apocarpe
607	fruit, dry	fruit sec	fruit sec	n.m.		
608	fruiting	fructifiant	fructifiant	v. tr.		
609	fruticose	frutescent	frutescent	adj.	lat. frutex, arbrisseau	
610	funicle=funiculus	funicule	funicule	n.m.	lat. funiculus, petite corde	formation ténue et filiforme qui relie l'ovule à la paroi de l'ovaire au niveau du placenta
611	funicular attachment 	funicule, point d'attache du	funicule, point d'attache du	n.m.		
612	funnel-shaped	entonnoir, en forme	entonnoir, en forme	n.m.		en forme d'entonnoir avec 1 base longue et étroite qui s'élargit très nettemt au sommet
613	funnel-shaped	infundibuliforme	infundibuliforme	adj.	lat. infundibulum, entonnoir	en forme d'entonnoir avec 1 base longue et étroite qui s'élargit très nettemt au sommet
614	furrowed	sillonné	sillonne	v. tr.		
615	fused	fusionné	fusionne	v. tr.		
616	fusiform	fusiforme	fusiforme	adj.	lat. fusus, fuseau	forme d'1 fuseau
617	fuzzy-cottony	cotonneux-crépu	cotonneux-crepu	adj.		
618	gamete	gamète	gamete	n.m.		
619	gametophyte	gamétophyte	gametophyte	n.m.		phase haploïde du cycle des végétaux
620	gamopetalous	gamopétale	gamopetale	adj.		corolles dt les pétales sont + ou - complètement soudés entre eux
621	gamosepalous	gamosépale	gamosepale	adj.		sépales présents et soudés entre eux
622	gap, leaf	brèche foliaire	breche foliaire	n.f.		
623	gelatinous	gélatineux	gelatineux	adj.		
624	geminate	géminé	gemine	adj.	lat. geminatus, double	doublé
625	geniculate	géniculé	genicule	adj.	lat. geniculus, petit genou	coudé, articulé, qui a des noeuds
626	genus (pl. genera)	genre (s)	genre (s)	n.m.		
627	geotropism	géotropisme	geotropisme	n.m.	gr. gê, terre, trépo, je tourne	orientation croissance du fait de la pesanteur
628	germination	germination	germination	n.f.	lat. germinatio	
629	gibbous	bossu	bossu	adj.	lat. gibbosus, bosse	renflement en forme de bosse (le + svt au niveau d'1 corolle).
630	gibbous	gibbeux	gibbeux	adj.	lat. gibbosus, bosse	swollen or bulging on one side
631	glabrescent	glabrescent	glabrescent	adj.	lat. glaber	
632	glabrous	glabre	glabre	adj.	lat. glaber	dépourvu de poils
633	gland	glande	glande	n.f.	lat. glandula	cellule sécrétrice isolée ou pt amas de cellule
634	glandular	glandulaire	glandulaire	adj.		
635	glandular	glanduleux	glanduleux	adj.	lat. glandulosus	
636	glandular dots	glanduleux, points	glanduleux, points	adj.		
637	glandular-dotted	ponctué-glanduleux	ponctue-glanduleux	adj.		
638	glaucous	glauque	glauque	adj.	lat. glaucus	having a waxy greyish-blue bloom
639	globe, form of a	globuleux	globuleux	adj.	lat. globus	
640	globose	globuleux	globuleux	adj.	lat. globus	
641	globose head	sphérique, capitule	spherique, capitule	adj.		
642	globose head	sphérique, en tête	spherique, en tete	adj.		
643	globular	globuleux	globuleux	adj.	lat. globus	
644	globules	sphères, petites	spheres, petites	n.f.		
645	glochid	glochidie	glochidie	n.f.		short barbed hair …
646	glochidium, glochid	glochidie	glochidie	n.f.		any hairlike projection with a hooked tip
647	glomerule	glomérule	glomerule	n.m.	lat. glomerula, petite pelote	inflorescence dense et globuleuse
648	glossy	vernissé	vernisse	adj.		
649	glume	glume	glume	n.f.	lat. gluma	
650	glutinous	glutineux	glutineux	adj.	lat. glutinosus, colle	
651	gnarled	noueux	noueux	adj.		
652	gone	gone	gone	suffixe		angle, crête
653	granular	granuleuse	granuleuse	adj.		
654	green manure	engrais vert	engrais vert	n.m.		
655	grooved	cannelé	cannele	adj.	it. cannelatura, cannelure	marqué de côtes longitudinales séparées par des sillons concaves
656	grooves	cannelures	cannelures	n.f.pl.	it. cannelatura, cannelure	
657	growing in rubbish	rudérale	ruderale	adj.	lat. ruderis, décombre	qui croît ds 1 site fortement marqué par la pression humaine
658	gum	gomme	gomme	n.f.	lat. gumma	hypersécrét° s'écoulant naturellement et durcissant à l'air
659	guttation	guttation	guttation	n.f.		excrétion de l'eau liquide
660	Gymnosperme	gymnosperme	gymnosperme	n.f. & adj.	gr. gumnos, nu	
661	gynandrous	gynandre	gynandre	adj.	gr. gunê, femme, andros, mâle	describing stamens that are inserted on the gynoecium
662	gynobasic	gynobasique	gynobasique	adj.	gr. gunê, femme, basis, base	style restant libre entre les carpelles, à la base desquels il s'insère
663	gynodioecious	gynodioïque	gynodioique	adj.	gr. gunê, femme, di, deux & oikos habitat	some plants with only female flowers, others with hermaphrodite flowers.
664	gynoecium	gynécée	gynecee	n.m.	gr. gunê, femme	ensemble des carpelles des Sperma.
665	gynomonoecious	gynomonoïque	gynomonoique	adj.	gr. gunê, femme, monos, un seul, oïkos, habitat	
666	gynophore	gynophore	gynophore	n.m.	gr. gunê, femme, phoros, qui porte	prolongement intrafloral du pédoncule
667	hair, fine	cil	cil	n.m.	lat. cilium	
668	hairs, hairy	poils, poilu	poils, poilu	n.m.pl		
669	hairy	poilu	poilu	adj.		couvert de très longs poils mous
670	hairy	velu	velu	adj.	lat. villus, poil	
671	halophilous	halophile	halophile	adj.	gr. halos, sel, philos, ami	vég. qui supporte ou recherche des teneurs inhabituelles en sel (halophytes=n.f.pl.)
672	halophyte	halophyte	halophyte	n.f.		prospèrent en milieux saumâtres (adj. Halophile)
673	haplobiontic	haplobionte	haplobionte	adj.		
674	haploid	haploïde	haploide	adj.		
675	hard wood	duramen	duramen	n.m.	mot latin	
676	hardwoods	feuillus	feuillus	n.m.pl.		
677	hastate	hasté	haste	adj.	lat. hasta, lance	avec à la base 2 lobes étalés donnant l'aspect d'un fer de hallebarde
678	haustorium	haustorium (pl. haustoria)	haustorium (pl. haustoria)	n.m.		suçoirs différenciés  …(pl. haustoria)
679	head	tête	tete	n.f.		
680	head, capitulum	capitule	capitule	n.m.	lat. capitulum, petite tête	
681	heart-shaped	cordiforme	cordiforme	adj.	lat. cordis, cœur 	organe en forme de coeur
682	heartwood	bois	bois	n.m.		
683	heartwood	bois de cœur	bois de coeur	n.m.		
684	heartwood	duramen	duramen	n.m.	mot latin	bois le + ancien 
685	heights of the tree	cime de l'arbre	cime de l'arbre	n.f.	lat. cyma	
686	helicoid	hélicoïde	helicoide	adj.		en forme d'hélice
687	hemisyncarpic, fruit	hémisyncarpe, le fruit est un	hemisyncarpe, le fruit est un	adj.	gr. hemi, à demi, syn, avec, karpos, fruit	
688	herb	herbe	herbe	n.f.		
689	hermaphrodite	hermaphrodite	hermaphrodite	adj.	gr. hermefrodis, nom d'un androgyne	bisexué
690	hesperidium	hespéride	hesperide	n.f.		fruit charnu à pépins .. Péricarpe=endocarpe
691	heter(o)	hétér(o)	heter(o)	préfixe	gr. heteros, autre	
692	heteroblastic	hétéroblastique	heteroblastique	adj.		diff. Ds le développement des feuilles
693	heterogamous	hétérogame	heterogame	adj.		
694	heteromorphic	hétéromorphe	heteromorphe	adj.		cycle de repro. Digénétique.. individus haploïde et diploïde morphologiquement différents
695	heterophyllous	hétérophylle	heterophylle	adj.	gr. phullon, feuille	
696	heterophylly	hétérophyllie	heterophyllie	n.f.	gr. phullon, feuille	porte des feuilles de formes dissemblables
697	heterostylous	hétérostyle	heterostyle	adj.		
698	heterostyly	hétérostylie	heterostylie	n.f.	gr. heteros, autre, stulos, colonne	coexistence de fleurs à styles de longueurs différentes chez une même espèce
699	heterotroph	hétérotrophe	heterotrophe	adj.		
700	hexa	héxa	hexa	préfixe	gr. hex, six	
701	hexamerous	héxamère, 6-mère	hexamere, 6-mere	adj.		
702	high	relief, en	relief, en	n.m.		
703	hilar 	hilaire	hilaire	adj.		
704	hilum	hile	hile	n.m.	lat. hilum	pte plage de couleur distincte à la surface d'une graine où le funicule se raccordait à l'ovule
705	hip (hep)	cynorrhodon	cynorrhodon	n.m.	gr. kuôn, chien & rhodon, rose	
706	hirsute	hirsute	hirsute	adj.		muni de poils rigides et longs
707	hispid	hispide	hispide	adj.		muni de poils raides, dressés, piquants, généralement + épais vers la base et atténués vers le sommet
708	hole	trou	trou	n.m.	lat. traucum	
709	hollow and tubular	fistuleux	fistuleux	adj.	lat. fistula, conduit	organe cylindrique et creux comme une flute
710	hollowed in	dépression, en	depression, en	n.f.		
711	holotype	holotype	holotype	n.m.		
712	homogamy	homogamie	homogamie	n.f.	gr. gamos, mariage	isogamie (avec fleurs bisexuées)
713	homomorphic	homomorphe	homomorphe	adj.		
714	honey guides (nectar guides)					lines or dots on the petals that direct a pollinating insect to the nectaries
715	hood	capuchon	capuchon	n.m.	it. cappucio	
716	hooded	capuchon, en	capuchon, en	n.m.		
717	hooded	cucullé	cuculle	adj.	lat. cuculla, capuchon de moine	en capuchon
718	hook	crochet	crochet	n.m.		
719	hooked	crochu	crochu	adj.		
720	hooked	unciforme	unciforme	adj.	lat. uncus, crochet & -forme	en forme de crochet
721	horned	cornu	cornu	adj.		qui a des cornes
722	horse-radish	radis noir	radis noir	n.m.		
723	horseshoe-shaped	fer à cheval, courbé, arqué en	fer a cheval, courbe, arque en	n.m.		
724	host	hôte	hote	n.m.		
725	hue, spectacular	teinte spectaculaire	teinte spectaculaire	n.f.		
726	hump	mamelon	mamelon	n.m.		
727	humus	humus	humus	n.m.		
728	hyaline 	hyalin(e)	hyalin(e)	adj.	gr. hyalos, transparent	qui a la transparence du verre
729	hybrid	hybride	hybride	n.m. & adj.		
730	hybridation	hybridization	hybridization			
731	hydathode	hydathode	hydathode	n.m.		stomate aquifère à l'extrémité d'une nervure de feuille
732	hydrophily	hydrophilie	hydrophilie	n.f.		
733	hydrophyte	hydrophyte	hydrophyte	n.f.		aux bourgeons persistants au fond de l'eau
734	hypanthial	hypanthial	hypanthial	adj.		
735	hypanthium	hypanthium	hypanthium	n.m.		flat & cup-shaped receptacle found in perigynous flowers
736	hypertrophy	hypertrophie	hypertrophie	n.f.		
737	hypha	hyphe	hyphe	n.f.		filament de champignon
738	hypocotyl	hypocotyle	hypocotyle	n.m. & adj.	gr. hypo, au-dessous, kotulêdôn, cavité	partie de l'axe au-dessous du niveau d'insertion des coty.
739	hypocotylar	hypocotylé	hypocotyle	n.m.		
740	hypogeal	hypogé	hypoge	adj.	gr. hypo, au-dessous, gê, terre	pour type de germination avec cotyl. sous la terre, ou fruits enterrés alors que fleurs aériennes
741	hypogynous	hypogyne	hypogyne	adj.		pièce florale qui paraît s'insérer au-dessous de l'ovaire
742	imbricate	imbriqué	imbrique	adj.	lat. imbricatus de imbrex, tuile	qui se recouvrent partiellement
743	imparipinnate	imparipenné	imparipenne	adj.	lat. impar, impair, penna, plume	feuille composée pennée avec foliole terminale
744	inaperturate					
745	incised	incisé	incise	adj.		
746	inclining	incliné	incline	adj.		
747	included 	inclus, use	inclus, use	adj.	lat. inclusus, enfermé	étamines lorsqu'elles sont insérées ds la tube de la corolle qu'elles ne dépassent aps
748	incompatible	incompatible	incompatible	adj.		
749	incomplete	incomplet	incomplet	adj.		
750	incurved	incurvé	incurve	adj.		
751	indefinite	indéfini	indefini	adj.		
752	indehiscent	indéhiscent	indehiscent	adj.	lat. dehiscere, s'ouvrir	fruit qui ne s'ouvre pas à maturité par un mécanisme propre
753	indentation	échancrure	echancrure	n.f.		
754	indented	découpé	decoupe	adj.		
755	indistinct	distinguable, non	distinguable, non	adj.		
756	indistinct	indistinct	indistinct	adj.		
757	indument	indument	indument	n.m.	lat. indumentum	any covering, such as hairs, scales, etc.
758	indumentum	indumentum	indumentum	n.m.	mot latin	dense or spare covering, usually of hairs
759	induplicate	indupliqué	induplique	adj.	lat. in en, dans, plicare, plier	the margins of perianth parts folded inwards and touching adjacent parts.
760	indusium	indusie	indusie	n.f.	lat. indusium, chemise	Formation membraneuse couvrant les sores des fougères.
761	inferior	infère	infere	adj.	lat. inferior, inférieur	of an ovary that is below the point of attachment of the calyx, corolla and stamens, and thus the base of the calyx fused to the ovary.
762	inflated	gonflé	gonfle	adj.		
763	inflexed	infléchi	inflechi	adj.		recourbé du dehors en dedans
764	inflorescence	inflorescence	inflorescence	n.f.	lat. inflorescere	
765	infructescence	infrutescence	infrutescence	n.f.		
766	inrolled	enroulé	enroule	adj.		
767	inserted	inséré	insere	v. tr.		
768	integument	tégumen	tegumen	n.m.		tégument interne de la graine
769	integument	tégument interne	tegument interne	n.m.	lat. tegere, couvrir	
770	interlocking	entremêlé	entremele	v. tr.		
771	interlocking	imbriquant, s'	imbriquant, s'	v. tr.		
772	internodal	internodale?	internodale?	adj.	lat. inter, entre	
773	internode	entre-nœud	entre-noeud	n.m.	lat. nodus, nœud	portion de la tige comprise entre 2 noeuds successifs
774	interpetiolar	interpétiolaire	interpetiolaire	adj.	lat. inter, entre, petiolus, petit pied	stipules
775	intine	intine	intine	n.f.		
776	intrapetiolar	intrapétiolaire	intrapetiolaire	adj.	lat. intra, à l'intérieur de, petiolus, petit pied	
777	intrastaminal	intrastaminal	intrastaminal	adj.	lat. intra, à l'intérieur de, stamina, fils	
778	intricate blooms	complexe	complexe	adj.	lat. complecti, contenir	
779	intricate leaf	découpée, feuille	decoupee, feuille	adj.		
780	introrse	introrse	introrse	adj.	lat. introrsum, au dedans	étamine dont l'anthère est tournée vers le centre de la fleur
781	intrusive	intrusif	intrusif	adj.		
782	involucel	involucelle	involucelle	n.m.	lat. involucrum, enveloppe	colerette de bractées à la base des rayons d'une ombellule
783	involucre	involucre	involucre	n.m.	lat. involucrum, enveloppe	ensemble de bractées constituant un verticille à la base d'une ombelle d'un capitule
784	involute	involuté	involute	adj.	lat. involvere, enrouler	à bords enroulés vers le haut
785	irregular	irrégulière	irreguliere	adj.	lat. irregularis	
786	isomorphic	isomorphe	isomorphe	adj.		cycle repro digénétique
787	isotype	isotype	isotype	n.m.		
788	ixoroid	ixoroïde	ixoroide	adj.		referring to secondary presentation of pollen to pollinators on the stigma as in the genus Ixora (Rubiaceae).
789	keel (carina)	carène	carene	n.f.	lat. carina, coquille de noix	
790	keeled (carina)	caréné	carene	adj.	lat. carina, coquille de noix	2 lower fused petals of a 'pea' plower, which form a boatlike structure around the stamens & styles
791	kidney-shaped	réniforme	reniforme	adj.	lat. renis, rein	en forme de rein
792	knob, stigmatetic	bosse stigmatique	bosse stigmatique	n.f.		
793	labellum (lip)	labelle	labelle	n.m.	lat. labellum, petite lèvre	pétale très particulière
794	lacerate	déchirer, lacérer	dechirer, lacerer	v. tr.		
795	laciniate	lacinié	lacinie	adj.	lat. lacinia, frange	finement divisé en lanières
796	lacuna (leaf gap)	lacune	lacune	n.f.		
797	lamina	limbe	limbe	n.m.	lat. limbus, frange	partie élargie généralement apmatie d'une feuille
798	laminar	laminiforme	laminiforme	adj.	lat. lamina, lame	
799	laminate placentation	laminale, placentation	laminale, placentation	adj.		
800	lanceolate	lancéolé	lanceole	adj.	lat. lancea, lance	en forme de fer de lance étroit et atténué aux deux extrémités
801	lateral	latéral	lateral	adj.		
802	latex	latex	latex	n.m.	lat. latex, liquide	
803	laticifer (latex tube)	laticifère	laticifere	n.m.	lat. latex, liquide, phoros, qui porte	
804	laticiferous	laticifère	laticifere	adj.		
805	latrorse	latrorse	latrorse	adj.	lat. latus, côté	
806	lax	lâche	lache	adj.		
807	lax	retombant	retombant	adj.		
808	layer	couche	couche	n.f.		
809	leader	cime?, tête?	cime?, tete?			tip of the main stem of a a plant
810	leaf	feuille	feuille	n.f.	lat. folia	limbe et accessoirement pétiole, gaine et stipules
811	leaf-	foliaire	foliaire	adj.		se rapportant à la feuille
812	leafless node	feuilles, nœud sans	feuilles, noeud sans	n.f.		
813	leaflet	foliole	foliole	n.f.	lat. foliolum, petite feuille	chaque division d'une feuille composée
814	leaf-like	foliacé	foliace	adj.		
815	leaf-opposed	feuilles, opposée aux	feuilles, opposee aux	adj.		
816	leafy	feuillé	feuille	adj.		
817	leaning	penché	penche	adj.		
818	leathery	coriace	coriace	adj.	lat. corium, cuir	
819	lectotype	lectotype	lectotype	n.m.		
820	legume (pod)	gousse	gousse	n.f.		fruit sec dérivé d'1 ovaire unicarpellé renfermant 
821	lemma	lemma ou lemme	lemma ou lemme	n.m.		glumelle inférieure (Poaceae)
822	lenticel	lenticelle	lenticelle	n.f.	lat. lenticulatus, lenticulaire	discontinuité du liège au niveau d'un rameau..
823	lenticellate	lenticellé	lenticelle	adj.		
824	lepidote	écaillé, indument	ecaille, indument	adj.		
825	lepidote	lépidote	lepidote	adj.	gr. lepidos, écaille	en forme d'écaille, en parlant d'un poil = squameux
826	liana	liane	liane	n.f.		
827	lianescent	lianescent	lianescent	adj.		
828	light-bulb-shaped 	piriforme	piriforme	adj.		
829	lignin	lignine	lignine	n.f.	lat. lignum, bois	
830	ligulate	ligulé	ligule	adj.	lat. ligula, languette	en forme de languette ou de langue
831	ligule	ligule	ligule	n.f.	lat. ligula, languette	corolle déjetée latéralement en une étroite languette apelée ligule
832	limb	limbe	limbe	n.m.	lat. limbus, frange	
833	limestone	sols calcaires	sols calcaires	n.m.		
834	linear	linéaire	lineaire	adj.		
835	lineate	souligné	souligne	adj.		
836	lined	ridé	ride	adj.		
837	lineole	linéole	lineole	n.f.	lat. linea	
838	lithophyte	lithophytes	lithophytes	n.m.pl	gr. lithos, pierre, phuton, plante	végétaux capables de croître en milieu rocheux
839	lobe, lobed	lobe, lobé	lobe, lobe	adj.	gr. lobos	division arrondie et peu profonde du limbe d'1 feuille …
840	lobed	bosselé	bossele	adj.		
841	locular	loculaire, uni, bi, tri-	loculaire, uni, bi, tri-	adj.		
842	locule=loculus	locula, loge	locula, loge	n.f.	lat. loculus, compartiment	
843	loculicidal	loculicide	loculicide	adj.	lat. loculus, compartiment	mode de déhiscence d'une capsule, le long de la nervure médiane du carpelle
844	loculicidally dehiscent	déhiscence loculicide	dehiscence loculicide	adj.	lat. loculus, compartiment	le long de la nervure médiane du carpelle
845	lodicule	lodicule	lodicule			either of the minut scales between the stamens & the glume of a grass, (= glumellule)
846	loment	lomentacé, fruit	lomentace, fruit	adj.	lat. lomentum	
847	lomentaceous	lomentacé	lomentace	adj.	lat. lomentum	
848	lomentum	lomentum	lomentum	n.m.		dry dehiscent fruit, developed from a single carpel, that contains one or more seeds (sainfoin)
849	long	allongé	allonge	adj.		
850	long	longuement	longuement	adv.		
851	long style	longistylé	longistyle	adj.		fleur à style long
852	long-lived	vivace	vivace	adj.	lat. vivax, qui a de la vitalité	disposition des éléments floraux
853	looped II venation 	arc des nervures II	arc des nervures II	n.m.		
854	lozenge-shaped	losangique	losangique	adj.		
855	lumen					
856	lustrous	lustré	lustre	adj.		
857	machete	matchette	matchette	n.f.		
858	macrosporophyll	macrosporophylle	macrosporophylle	n.f.	gr. phullon, feuille	
859	main nerve	médiane	mediane	n.f.		
860	male	mâle	male	n.m.		
861	many	multiple	multiple	adj.		
862	many-seeded	multiséminé	multisemine	adj.		
863	marble-like blotches, covered with	marbré	marbre	adj.		
864	margin	marge, bord	marge, bord	n.f.		
865	margin, leaf	marge de la feuille	marge de la feuille	n.f.		
866	marginal placentation	marginal	marginal	adj.		
867	marginicidal dehiscent	marginicide, à déhiscence	marginicide, a dehiscence	adj.	lat. marginis, marge	
868	markedly	nettement	nettement	adv.		
869	mature	mure	mure	adj.		
870	meatus, lacuna	méat	meat	n.m.	lat. meare, passer	espace intercellulaire 
871	medifixed	médifixe	medifixe	adj.	lat. medius, au centre, fixus	
872	meet	contigu, uë	contigu, ue	adj.	lat. contingere, toucher	
873	megaphyll	mégaphylles	megaphylles	n.m.	gr. phullon, feuille	
874	megasporophyll	mégasporophylle	megasporophylle	n.f.	gr. phullon, feuille	
875	membranaceous	membraneux	membraneux	adj.		
876	membranous	membraneux	membraneux	adj.	lat. membrana, peau	
877	mericarp	méricarpe	mericarpe	n.m.	gr. meri, partie, karpos, fruit	chacun des éléments d'un fruit
878	meristem	méristème	meristeme	n.m.		
879	merous	mère	mere	suffixe	gr. meros	suffixe partitif désignant une pièce
880	mesarch	mésarche	mesarche	adj.	lat. meso, moyen, arcus, arc	
881	mesocarp	mésocarpe	mesocarpe	n.m.	gr. meso, moyen, karpos, fruit	
882	mesogenous					see perigenous
883	mesophyll	mésophylle	mesophylle	n.m.	gr. meso, moyen, phullon, feuille	au niveau du limbe, partie moyenne de la feuille entre les épidermes
884	mesophyte	mésophyte	mesophyte	n.f.	gr. meso, moyen, phullon, feuille	plante croissant ds des stations d'humidité moyenne
885	metaxylem	métaxylème	metaxyleme	n.m.	gr. meta, après, xylos, bois	
886	microphyll	microphylles	microphylles	n.f.pl.	gr. phullon, feuille	Ptéri
887	micropyle	micropyle	micropyle	n.m.	gr. mikros, petit, pulê, porte	pte discontinuité du tégument qui entoure l'ovule
888	microspore	microspore	microspore	n.m.	gr. mikros, petit, spora, semence	grain de pollen
889	microsporophyll	microsporophylle	microsporophylle	n.f.	gr. mikros, petit, phullon, feuille	
890	midrib	nervure principale	nervure principale	n.f.	lat. nervus, nerf	
891	minut	minuscule	minuscule	adj.		
892	moder humus	moder	moder	n.m.		
893	moist	humide	humide	aqdj.		
894	monadelphous	monadelphe	monadelphe	adj.	gr. monas, unité, adelphos, frère	androcée dt ttes les étamines sont soudées, formant un seul faisceau
895	moniliform	moniliforme	moniliforme	adj.	lat. monie, moine?	en forme de chapelet du fait de la succession d'éléments renflés séparés par des étranglements
896	monocarpic	monocarpique	monocarpique	adj.	gr. monos, un seul, karpos, fruit	ne fleurit qu'une seule fois et meurt
